origin_stop_id,dest_stop_id,time_bin_id,is_structural_zero,primary_reason,triggered_rules,feasible,minimum_transfers,minimum_initial_wait_minutes,minimum_journey_time_minutes,feasible_departure_count,earliest_arrival_seconds
BERNEX_HAINARD,GENEVE_GARE_CORNAVIN,t0700,false,,,true,0,0,27.983333333333334,12,26220
BERNEX_HAINARD,GENEVE_GARE_CORNAVIN,t0730,false,,,true,0,0,28.983333333333334,13,28020
BERNEX_HAINARD,GENEVE_GARE_CORNAVIN,t0800,false,,,true,0,0,28.983333333333334,13,29700
BERNEX_HAINARD,GENEVE_GARE_CORNAVIN,t0830,false,,,true,0,0,27.983333333333334,9,31620
BERNEX_HAINARD,GENEVE_JONCTION,t0700,false,,,true,0,0,17.983333333333334,12,25620
BERNEX_HAINARD,GENEVE_JONCTION,t0730,false,,,true,0,0,17.983333333333334,13,27360
BERNEX_HAINARD,GENEVE_JONCTION,t0800,false,,,true,0,0,17.983333333333334,13,29040
BERNEX_HAINARD,GENEVE_JONCTION,t0830,false,,,true,0,0,17.983333333333334,9,31020
BERNEX_HAINARD,GENEVE_LYON,t0700,false,,,true,0,0,28.983333333333334,12,26280
BERNEX_HAINARD,GENEVE_LYON,t0730,false,,,true,0,0,29.983333333333334,13,28080
BERNEX_HAINARD,GENEVE_LYON,t0800,false,,,true,0,0,29.983333333333334,13,29760
BERNEX_HAINARD,GENEVE_LYON,t0830,false,,,true,0,0,29.983333333333334,9,31740
BERNEX_HAINARD,GENEVE_MOLARD,t0700,false,,,true,1,0,24.983333333333334,12,26040
BERNEX_HAINARD,GENEVE_MOLARD,t0730,false,,,true,1,0,24.983333333333334,13,27780
BERNEX_HAINARD,GENEVE_MOLARD,t0800,false,,,true,1,0,25.983333333333334,13,29460
BERNEX_HAINARD,GENEVE_MOLARD,t0830,false,,,true,1,0,24.983333333333334,8,31440
BERNEX_HAINARD,GENEVE_PALLADIUM,t0700,false,,,true,0,0,18.983333333333334,12,25680
BERNEX_HAINARD,GENEVE_PALLADIUM,t0730,false,,,true,0,0,19.983333333333334,13,27480
BERNEX_HAINARD,GENEVE_PALLADIUM,t0800,false,,,true,0,0,19.983333333333334,13,29160
BERNEX_HAINARD,GENEVE_PALLADIUM,t0830,false,,,true,0,0,18.983333333333334,9,31080
BERNEX_HAINARD,GENEVE_PLACE_DE_NEUVE,t0700,false,,,true,1,0,25.983333333333334,12,26100
BERNEX_HAINARD,GENEVE_PLACE_DE_NEUVE,t0730,false,,,true,1,0,27.983333333333334,13,27960
BERNEX_HAINARD,GENEVE_PLACE_DE_NEUVE,t0800,false,,,true,1,0,26.983333333333334,13,29700
BERNEX_HAINARD,GENEVE_PLACE_DE_NEUVE,t0830,false,,,true,1,0,25.983333333333334,9,31560
BERNEX_HAINARD,GENEVE_PLAINPALAIS,t0700,false,,,true,1,0,26.983333333333334,12,26160
BERNEX_HAINARD,GENEVE_PLAINPALAIS,t0730,false,,,true,1,0,29.983333333333334,13,28080
BERNEX_HAINARD,GENEVE_PLAINPALAIS,t0800,false,,,true,1,0,28.983333333333334,13,29820
